Method,,Bike
intersection_union_all,EC,1.0
intersection_union_all,MAE,-0.01
intersection_union_all,MSqE,-0.35
intersection_union_all,R2,0.35
intersection_union_distance,EC,1.0
intersection_union_distance,MAE,0.78
intersection_union_distance,MSqE,0.95
intersection_union_distance,R2,-0.95
intersection_union_sample,EC,1.0
intersection_union_sample,MAE,0.82
intersection_union_sample,MSqE,0.6
intersection_union_sample,R2,-0.6
negative_incon,EC,1.0
negative_incon,MAE,0.61
negative_incon,MSqE,0.34
negative_incon,R2,-0.34
positive_incon,EC,1.0
positive_incon,MAE,0.97
positive_incon,MSqE,0.99
positive_incon,R2,-0.99
ratio,EC,1.0
ratio,MAE,0.94
ratio,MSqE,0.82
ratio,R2,-0.82
ratio-diff,EC,1.0
ratio-diff,MAE,-0.93
ratio-diff,MSqE,-0.81
ratio-diff,R2,0.81
ratio-diff-signed,EC,1.0
ratio-diff-signed,MAE,-0.95
ratio-diff-signed,MSqE,-0.83
ratio-diff-signed,R2,0.83
ratio-signed,EC,1.0
ratio-signed,MAE,0.93
ratio-signed,MSqE,0.81
ratio-signed,R2,-0.81
